team_alpha3,url_team,kit_shirt,kit_away,kit_shorts,kit_socks
ARG,/wiki/Argentina_national_football_team,#FFFFFF,#163656,#000000,#FFFFFF
PER,/wiki/Peru_national_football_team,#FFFFFF,#0A2750,#FFFFFF,#FFFFFF
ECU,/wiki/Ecuador_national_football_team,#FFFF00,#00C5D6,#0B142F,#0B142F
URY,/wiki/Uruguay_national_football_team,#FFFFFF,#FFFFFF,#000000,#000000
PRY,/wiki/Paraguay_national_football_team,#FF0000,#FFFFFF,#0000FF,#0000FF
BRA,/wiki/Brazil_national_football_team,#FFCC00,#003CFF,#0000FF,#FFFFFF
CHL,/wiki/Chile_national_football_team,#FF0000,#FFFFFF,#0000FF,#0000CE
VEN,/wiki/Venezuela_national_football_team,#800000,#FFFFFF,#800000,#8B0224
COL,/wiki/Colombia_national_football_team,#FFDD00,#151574,#0F1842,#DD0000
BOL,/wiki/Bolivia_national_football_team,#117355,#FFFFFF,#117355,#8B0000
USA,/wiki/United_States_men%27s_national_soccer_team,#FFFFFF,#0A1021,#182F87,#FFFFFF
MEX,/wiki/Mexico_national_football_team,#000000,#FFFFFF,#000000,#000000
JPN,/wiki/Japan_national_football_team,#4eb2eb,#DADADA,#000080,#4eb2eb
HND,/wiki/Honduras_national_football_team,#FFFFFF,#0000FF,#FFFFFF,#FFFFFF
CRI,/wiki/Costa_Rica_national_football_team,#FF0000,#FFFFFF,#0000FF,#FF0000
JAM,/wiki/Jamaica_national_football_team,#FFDF00,#008040,#000000,#FFDF00
HTI,/wiki/Haiti_national_football_team,#101CC6,#EF1C21,#101CC6,#101CC6
PAN,/wiki/Panama_national_football_team,#FE0121,#FFFFFF,#FE0121,#FE0121
QAT,/wiki/Qatar_national_football_team,#BF001D,#FFFFFF,#BF001D,#BF001D
