year,squad,no,pos,player,date_of_birth_age,caps,club,player_url,club_fa_url,club_fa,club_2,club_country,club_country_flag,goals,captain,player_original,nat_team,club_country_harm,nat_team_alpha3,club_alpha3
1987,Argentina,1,MF,Roque Alfaro,(1956-08-15)15 August 1956 (aged 30),NA,River Plate,/wiki/Roque_Alfaro,/wiki/Argentine_Football_Association,Argentine Football Association,River Plate,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Roque Alfaro,Argentina,Argentina,ARG,ARG
1987,Argentina,2,MF,Sergio Batista,(1962-11-09)9 November 1962 (aged 24),NA,Argentinos Juniors,/wiki/Sergio_Batista,/wiki/Argentine_Football_Association,Argentine Football Association,Argentinos Juniors,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Sergio Batista,Argentina,Argentina,ARG,ARG
1987,Argentina,3,FW,Claudio Caniggia,(1967-01-09)9 January 1967 (aged 20),NA,River Plate,/wiki/Claudio_Caniggia,/wiki/Argentine_Football_Association,Argentine Football Association,River Plate,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Claudio Caniggia,Argentina,Argentina,ARG,ARG
1987,Argentina,4,FW,Oscar Dertycia,(1965-03-03)3 March 1965 (aged 22),NA,Instituto Córdoba,/wiki/Oscar_Dertycia,/wiki/Argentine_Football_Association,Argentine Football Association,Instituto Córdoba,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Oscar Dertycia,Argentina,Argentina,ARG,ARG
1987,Argentina,5,DF,José Luis Brown,(1956-11-10)10 November 1956 (aged 30),NA,Brest,/wiki/Jos%C3%A9_Luis_Brown,/wiki/French_Football_Federation,French Football Federation,Brest,France,//upload.wikimedia.org/wikipedia/en//c/c3/Flag_of_France.svg,NA,FALSE,José Luis Brown,Argentina,France,ARG,FRA
1987,Argentina,6,DF,Hernán Diaz,(1965-02-26)26 February 1965 (aged 22),NA,Rosario Central,/wiki/Hern%C3%A1n_Diaz,/wiki/Argentine_Football_Association,Argentine Football Association,Rosario Central,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Hernán Diaz,Argentina,Argentina,ARG,ARG
1987,Argentina,7,FW,Juan Gilberto Funes,(1963-03-08)8 March 1963 (aged 24),NA,River Plate,/wiki/Juan_Gilberto_Funes,/wiki/Argentine_Football_Association,Argentine Football Association,River Plate,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Juan Gilberto Funes,Argentina,Argentina,ARG,ARG
1987,Argentina,8,MF,Oscar Acosta,(1964-10-18)18 October 1964 (aged 22),NA,Ferro Carril Oeste,/wiki/Oscar_Rom%C3%A1n_Acosta,/wiki/Argentine_Football_Association,Argentine Football Association,Ferro Carril Oeste,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Oscar Acosta,Argentina,Argentina,ARG,ARG
1987,Argentina,9,DF,José Luis Cuciuffo,(1961-02-01)1 February 1961 (aged 26),NA,Vélez Sársfield,/wiki/Jos%C3%A9_Luis_Cuciuffo,/wiki/Argentine_Football_Association,Argentine Football Association,Vélez Sársfield,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,José Luis Cuciuffo,Argentina,Argentina,ARG,ARG
1987,Argentina,10,MF,Diego Maradona,(1960-10-30)30 October 1960 (aged 26),NA,Napoli,/wiki/Diego_Maradona,/wiki/Italian_Football_Federation,Italian Football Federation,Napoli,Italy,//upload.wikimedia.org/wikipedia/en//0/03/Flag_of_Italy.svg,NA,FALSE,Diego Maradona,Argentina,Italy,ARG,ITA
